px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.7809	-5.87456	2.70585	-5.90234	-0.291832	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	11.9719
8.91012	-5.78725	2.70925	-5.90042	-0.277509	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0
9.01182	-5.69797	2.69459	-5.87132	-0.226672	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	8.22345
9.12419	-5.60917	2.69718	-5.86311	-0.211229	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0
9.25948	-5.54685	2.70037	-5.87908	-0.219787	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	1.92609
9.3883	-5.45867	2.70394	-5.87454	-0.206611	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0
9.49238	-5.35182	2.68574	-5.8335	-0.145778	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	11.6076
9.61541	-5.25813	2.68783	-5.82473	-0.132559	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0
9.7243	-5.15788	2.67482	-5.7913	-0.0841527	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	7.49951
9.84086	-5.05796	2.67561	-5.77816	-0.0702562	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0
9.94373	-4.94781	2.6635	-5.7387	-0.0197334	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	7.46205
10.0542	-4.84611	2.66202	-5.72406	-0.00750286	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0
10.1453	-4.72188	2.64947	-5.67446	0.0493842	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	8.82801
10.247	-4.60155	2.65077	-5.64997	0.0662592	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0
10.3371	-4.47625	2.64304	-5.60586	0.111437	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	5.29791
10.4355	-4.3426	2.64914	-5.57617	0.129486	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0
10.5491	-4.24629	2.65201	-5.5711	0.12618	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	0.216408
10.6404	-4.11117	2.65591	-5.54102	0.143818	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0
10.7366	-3.99599	2.65483	-5.51682	0.161595	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.837197
10.8279	-3.86701	2.65833	-5.49191	0.173705	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0
10.8891	-3.71875	2.65025	-5.42723	0.237192	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	9.8588
10.9636	-3.57955	2.6515	-5.39561	0.25131	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0
11.0553	-3.48182	2.6543	-5.39666	0.233189	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	1.55245
11.121	-3.33941	2.66301	-5.3631	0.249221	11.0447	-3.1561	11.05	-3.15	1.9995	2.99925	0
11.1722	-3.18553	2.66043	-5.30196	0.303326	11.1178	-2.98807	11.1	-3	0.907725	2.72317	7.04029
11.233	-3.02831	2.66763	-5.26468	0.318395	11.1427	-2.86566	11.15	-2.85	0.907708	2.72314	0
11.2842	-2.87997	2.66734	-5.21886	0.349385	11.1491	-2.68183	11.2	-2.7	0.908929	2.72678	2.38237
11.335	-2.71732	2.67594	-5.18006	0.363475	11.2525	-2.55311	11.25	-2.55	0.908929	2.72678	0
11.3004	-2.5127	2.67333	-5.04401	0.497983	11.1188	-2.36202	11.2	-2.4	-0.909276	2.72782	40.643
11.3175	-2.35043	2.67347	-4.99731	0.512541	11.1594	-2.25598	11.15	-2.25	-0.909276	2.72782	0
11.4031	-2.23805	2.66973	-5.02826	0.440448	11.2029	-2.09837	11.25	-2.1	1.81915	2.72871	13.5912
