px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.65744	-9.57212	-2.74287	1.96589	-0.121716	9.54779	-9.64959	9.55	-9.65	0	-3.0002	1.09775
9.72347	-9.70072	-2.75216	1.97317	-0.102696	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.39009
9.74038	-9.85354	-2.75704	1.93766	-0.130882	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.931024
9.75995	-10.0004	-2.74442	1.89774	-0.172799	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.48876
9.79216	-10.1479	-2.74309	1.87746	-0.183066	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.168644
9.83179	-10.2835	-2.74506	1.86434	-0.188444	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.578168
9.84059	-10.4312	-2.74796	1.83192	-0.209624	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.547246
9.88437	-10.5745	-2.74973	1.82962	-0.195875	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.857188
9.90341	-10.73	-2.75156	1.80494	-0.208596	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.20068
9.91003	-10.8818	-2.7447	1.76488	-0.246238	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.19655
9.91316	-11.0376	-2.74522	1.73408	-0.262196	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.350404
9.92945	-11.1732	-2.74439	1.71722	-0.266257	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.072073
9.92216	-11.32	-2.74753	1.68538	-0.282912	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.403101
9.93654	-11.4586	-2.74915	1.67126	-0.282071	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0865991
9.92044	-11.6056	-2.75236	1.63742	-0.299737	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.500138
9.84815	-11.7481	-2.73829	1.53563	-0.417401	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	17.23
9.82252	-11.8839	-2.73606	1.50247	-0.429032	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.372532
9.79596	-12.019	-2.73368	1.46591	-0.448533	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.413305
9.75195	-12.1584	-2.73503	1.42537	-0.464763	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.555493
9.67927	-12.2931	-2.73179	1.34425	-0.544066	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	6.28015
9.62738	-12.4197	-2.72787	1.30473	-0.555971	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.592061
9.50074	-12.5385	-2.72227	1.18015	-0.686694	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	14.2737
9.43048	-12.6528	-2.71616	1.13491	-0.697837	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.782354
9.34306	-12.7812	-2.71572	1.07185	-0.73143	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.866669
9.2601	-12.895	-2.70668	1.02394	-0.740699	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.968948
9.07884	-12.9773	-2.7126	0.856644	-0.92051	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	25.5317
8.95909	-13.0637	-2.70926	0.791148	-0.938363	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.38727
8.80295	-13.1431	-2.71331	0.680776	-1.0178	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	4.65717
8.67849	-13.2118	-2.70225	0.614954	-1.03033	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	1.44051
8.52232	-13.2589	-2.71006	0.503199	-1.11383	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	5.31642
8.39179	-13.3006	-2.70245	0.435018	-1.12737	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.13096
8.20563	-13.3155	-2.71529	0.296425	-1.23391	8.22926	-13.1698	8.2	-13.15	-2.72741	0	9.17453
8.05363	-13.3277	-2.70591	0.213153	-1.25114	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.61088
7.88988	-13.3304	-2.70958	0.115308	-1.28903	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.80953
7.74139	-13.3179	-2.70005	0.0313753	-1.30487	7.76538	-13.1647	7.75	-13.15	-2.72986	0	1.23431
7.63343	-13.3593	-2.68089	0.0273889	-1.21814	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	7.99435
7.49174	-13.3423	-2.67947	-0.045058	-1.22865	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.532417
7.34208	-13.3247	-2.67752	-0.114242	-1.22721	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.842932
7.19212	-13.2924	-2.67755	-0.188958	-1.23347	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.208054
7.04935	-13.2243	-2.68937	-0.291962	-1.28696	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.87719
6.91415	-13.1764	-2.69324	-0.360079	-1.28824	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.250693
6.77892	-13.1285	-2.69091	-0.422274	-1.27749	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.220286
6.63665	-13.0655	-2.69712	-0.490635	-1.27266	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.312536
6.50974	-13.0378	-2.67002	-0.505901	-1.19693	6.40137	-13.0799	6.4	-13.05	-2.72678	0	10.792
6.36729	-12.9827	-2.67982	-0.556206	-1.17796	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0.858391
6.24129	-12.9257	-2.66781	-0.593653	-1.14114	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	2.47061
